window_start	window_end	cigar_string
122814768	122815767	3588=
122815768	122816767	3588=
122816768	122817767	3588=1X1409=
122817768	122818767	1409=1X283=
122818768	122819767	283=1X3672=
122819768	122820767	3672=
122820768	122821767	3672=
122821768	122822767	3672=1X1354=
122822768	122823767	1354=
122823768	122824767	1354=1X702=1X3160=
122824768	122825767	3160=
122825768	122826767	3160=
122826768	122827767	3160=
122827768	122828767	3160=1357I182=1X32=1X1182=
122828768	122829767	1182=1X6102=
122829768	122830767	6102=
122830768	122831767	6102=
122831768	122832767	6102=
122832768	122833767	6102=
122833768	122834767	6102=
122834768	122835767	6102=1X2862=
122835768	122836767	2862=
122836768	122837767	2862=
122837768	122838767	2862=1X1974=
122838768	122839767	1974=
122839768	122840767	1974=2378D
122840768	122841767	2378D
122841768	122842767	2378D2281=
122842768	122843767	2281=
122843768	122844767	2281=
122844768	122845767	2281=1X1028=
122845768	122846767	1028=1X2358=
122846768	122847767	2358=
122847768	122848767	2358=2040I3750=
122848768	122849767	3750=
122849768	122850767	3750=
122850768	122851767	3750=
122851768	122852767	3750=1X3087=
122852768	122853767	3087=
122853768	122854767	3087=
122854768	122855767	3087=1X13106=
122855768	122856767	13106=
122856768	122857767	13106=
122857768	122858767	13106=
122858768	122859767	13106=
122859768	122860767	13106=
122860768	122861767	13106=
122861768	122862767	13106=
122862768	122863767	13106=
122863768	122864767	13106=
122864768	122865767	13106=
122865768	122866767	13106=
122866768	122867767	13106=
122867768	122868767	13106=1X29=340D12=1X86=1X6=1D7=1X4=1I2=1D26=2X6=1X25=1X52=1X16=
122868768	122869767	16=1X96=1X1=1X17=1X63=1X6=1X13=1X2=1X1=1X7=1X158=1X71=1X45=1X15=1X6=1X4=1X166=1X13=1X9=1I251=1X293=
122869768	122870767	293=1X15=1X167=1X11=1X16=1X121=1X4=1X18=1X42=1X41=1701I2192=
122870768	122871767	2192=
122871768	122872767	2192=1X5381=
122872768	122873767	5381=
122873768	122874767	5381=
122874768	122875767	5381=
122875768	122876767	5381=
122876768	122877767	5381=
122877768	122878767	5381=1X2197=
122878768	122879767	2197=
122879768	122880767	2197=1X1216=
122880768	122881767	1216=1X1319=
122881768	122882767	1319=
122882768	122883767	1319=1X1174=
122883768	122884767	1174=1X2593=
122884768	122885767	2593=
122885768	122886767	2593=1X743=
122886768	122887767	743=1X8815=
122887768	122888767	8815=
122888768	122889767	8815=
122889768	122890767	8815=
122890768	122891767	8815=
122891768	122892767	8815=
122892768	122893767	8815=
122893768	122894767	8815=
122894768	122895767	8815=
122895768	122896767	8815=2040D
122896768	122897767	2040D
122897768	122898767	2040D308=1X1537=
122898768	122899767	1537=
122899768	122900767	1537=1X417=1X57=1X21=1X59=1X19=1X23=1X3=1X6=1X13=1X20=1X6=1X14=1X22=1X13=1X8=1X18=1X90=
122900768	122901767	90=1X12=2X2=1I3=1D1=1X1=1X8=1X10=1X30=2X7=1X2=1X3=2X1=1X25=1X12=1X13=1X2=2X20=1X23=2X3=1X3=1X27=1X9=2X4=1X3=1X21=1X3=1X5=1X1=1X1=1X4=1X12=1X23=1X22=1X3=1X3=1X10=1X8=2X2=1X6=1X6=1X5=1X8=2X6=1X7=1X2=1X4=1X13=1X1=1X1=2X14=1X4=1X2=1X5=1X1=1X11=1X28=1X40=1X12=1X3=1X4=1D1=1X59=1X40=1X75=1X13=1I7=1X2=1X3=1X13=1X10=1X2=1X13=1X21=1X20=1X1=1X13=1X27=1X38=
122901768	122902767	38=1X14=1X36=1X10=1X1=2X2=1X4=1X1=1X8=1X8=1X1=1X30=2X7=1X2=1X3=2X1=1X21=1X16=1X13=1X2=2X10=1X9=1X11=1X9=1X1=2X3=1X3=1X1=1X13=1X11=1X5=1X3=2X4=1X3=1X25=1X5=1X1=1X1=1X17=1X23=1X8=1X12=1X3=2X5=1X19=1X1=1X19=1X2=1X8=1X4=2X2=1X3=1X23=1X1=1X20=1X2=1X5=2D1=1X2=2I1=1X6=1X1=1X8=1X11=1X5=1X5=2X3=1X3=1X20=2X3=1X1=1X9=1X4=2X3=1I1=1X7=1X11=1X3=1X2=1I5=3X17=1X23=1X22=1X3=1X3=1X10=1X12=1X6=1X12=1X8=2X6=1X10=1X7=1D3=1X7=1X1=1X1=1X2=1X12=1X4=1X2=1X3=2D2=2I1X11=1X22=1X5=2X36=1X2=1X12=1X3=1X
122902768	122903767	1X4=1D1=1X32=1X1=1X10=1X50=1X11=1X4=1X2=1X19=1X23=1X22=1X6=1I7=1X4=1X1=1X24=1X2=1X35=1X6=1X36=1X22=1X20=1X15=1X41=1X21=1X11=1X7=1X19=1X6=1X39=1X2=1X10=1X4=1X1=1X20=1I3=1D6=1X14=1X23=1X60=1X36=1X5=1X35=1X21=1X29=1X13=1X3=1X38=1X2=1X10=1X4=1X1=1X11=1X57=1X60=
122903768	122904767	60=1X15=1X120=1X34=1X17=1X32=1X64=1X5=1X5=1X145=1X45=1X175=1X35=1X70=1X62=1X8=1X68=1X15=1X89=
122904768	122905767	89=1X247=1X66=1X59=1X12=1X50=1X11=1X7=1X19=1X39=1X6=1X13=1X2=1X1=1X22=1X20=1X31=1X12=1X13=1X27=1I4=1D34=1X41=1X21=1X11=1X7=1X3=1X15=1X19=1X26=1X13=1X4=1X1=1X20=1X26=2X14=1X45=
122905768	122906767	45=1X20=1X36=1X143=1X48=1X68=1X45=1X9=1X27=1X61=1X43=1X47=1X23=1X12=1X164=1X47=1X64=1X50=1X70=
122906768	122907767	70=1X64=1X132=1X1917=
122907768	122908767	1917=
122908768	122909767	1917=1X447=1X5453=
122909768	122910767	5453=
122910768	122911767	5453=
122911768	122912767	5453=
122912768	122913767	5453=
122913768	122914767	5453=
122914768	122915767	5453=1X2667=
122915768	122916767	2667=
122916768	122917767	2667=1X263=1X117=
122917768	122918767	117=1X30=1X199=1X412=1X22=1X36=1X63=1X188=
122918768	122919767	188=1X21=2X52=1X35=1X38=340I10=1X208=1X38=1X67=1X34=1X1083=
122919768	122920767	1083=1X119=1X255=
122920768	122921767	255=1X127=1X103=1X108=1X296=4D66=1X61=1X11=1X4=1X2=1X3=1X15=1X27=1X18=1X6=1D7=1X4=1I2=1D24=1X2=1X35=1X6=1X36=
122921768	122922767	36=1X22=1X36=1X12=1X50=1X11=1X7=1X19=1X46=1X13=1X4=1D2=1I20=1X42=1X66=1X36=1X26=1X14=1X21=1X29=1X29=1X26=1X13=1X4=1I2=1D11=1X8=1X27=1X14=1X45=1X44=1X12=1X143=2718I2=1I234=
122922768	122923767	234=1X2101=
122923768	122924767	2101=
122924768	122925767	2101=1X1=1X428=1X207=1X2010=
122925768	122926767	2010=
122926768	122927767	2010=1X1177=
122927768	122928767	1177=
122928768	122929767	1177=1X485=1X2441=
122929768	122930767	2441=
122930768	122931767	2441=1X3527=
122931768	122932767	3527=
122932768	122933767	3527=
122933768	122934767	3527=
122934768	122935767	3527=1X5143=
122935768	122936767	5143=
122936768	122937767	5143=
122937768	122938767	5143=
122938768	122939767	5143=
122939768	122940767	5143=1X225=1X403=
122940768	122941767	403=1X10417=
122941768	122942767	10417=
122942768	122943767	10417=
122943768	122944767	10417=
122944768	122945767	10417=
122945768	122946767	10417=
122946768	122947767	10417=
122947768	122948767	10417=
122948768	122949767	10417=
122949768	122950767	10417=
122950768	122951767	10417=1X2433=
122951768	122952767	2433=
122952768	122953767	2433=
122953768	122954767	2433=1X8023=
122954768	122955767	8023=
122955768	122956767	8023=
122956768	122957767	8023=
122957768	122958767	8023=
122958768	122959767	8023=
122959768	122960767	8023=
122960768	122961767	8023=
122961768	122962767	8023=1X10556=
122962768	122963767	10556=
122963768	122964767	10556=
122964768	122965767	10556=
122965768	122966767	10556=
122966768	122967767	10556=
122967768	122968767	10556=
122968768	122969767	10556=
122969768	122970767	10556=
122970768	122971767	10556=
122971768	122972767	10556=1X324=
122972768	122973767	324=1X4457=
122973768	122974767	4457=
122974768	122975767	4457=
122975768	122976767	4457=
122976768	122977767	4457=1X713=
122977768	122978767	713=340D408=1X1223=
122978768	122979767	1223=
122979768	122980767	1223=1X1773=
122980768	122981767	1773=1X1033=
122981768	122982767	1033=
122982768	122983767	1033=1X456=1X1500=
122983768	122984767	1500=1699I2207=
122984768	122985767	2207=
122985768	122986767	2207=
122986768	122987767	2207=1X2712=
122987768	122988767	2712=
122988768	122989767	2712=1X327=
122989768	122990767	327=1X712=1X2347=
122990768	122991767	2347=
122991768	122992767	2347=
122992768	122993767	2347=1X869=
122993768	122994767	869=1X4047=
122994768	122995767	4047=
122995768	122996767	4047=
122996768	122997767	4047=
122997768	122998767	4047=1X569=1X952=
122998768	122999767	952=1X2053=
122999768	123000767	2053=
123000768	123001767	2053=1X2349=
123001768	123002767	2349=
123002768	123003767	2349=
123003768	123004767	2349=1X6515=
123004768	123005767	6515=
123005768	123006767	6515=
123006768	123007767	6515=
123007768	123008767	6515=
123008768	123009767	6515=
123009768	123010767	6515=1X6860=
123010768	123011767	6860=
123011768	123012767	6860=
123012768	123013767	6860=
123013768	123014767	6860=
123014768	123015767	6860=
123015768	123016767	6860=
123016768	123017767	6860=2716I641=
123017768	123018767	641=1X5021=
123018768	123019767	5021=
123019768	123020767	5021=
123020768	123021767	5021=
123021768	123022767	5021=
123022768	123023767	5021=1X6=1X13=1X2=1X1=1X1009=
123023768	123024767	1009=1X788=2380D
123024768	123025767	2380D
123025768	123026767	2380D
123026768	123027767	2380D2787=
123027768	123028767	2787=
123028768	123029767	2787=
123029768	123030767	2787=1X12=1X378=1X2131=
123030768	123031767	2131=
123031768	123032767	2131=1360D
123032768	123033767	1360D
123033768	123034767	1360D2572=
123034768	123035767	2572=
123035768	123036767	2572=1X1699=
123036768	123037767	1699=
123037768	123038767	1699=1X12=1X2699=
123038768	123039767	2699=
123039768	123040767	2699=
123040768	123041767	2699=5094D
123041768	123042767	5094D
123042768	123043767	5094D
123043768	123044767	5094D
123044768	123045767	5094D
123045768	123046767	5094D2707=
123046768	123047767	2707=
123047768	123048767	2707=1X850=
123048768	123049767	850=1X191=1X1404=
123049768	123050767	1404=
123050768	123051767	1404=1X5099=
123051768	123052767	5099=
123052768	123053767	5099=
123053768	123054767	5099=
123054768	123055767	5099=
123055768	123056767	5099=1X83=1X2=1X3741D
123056768	123057767	3741D
123057768	123058767	3741D
123058768	123059767	3741D
123059768	123060767	3741D7=1X31=1X2=1X35=1X5=1I1=1D1518=
123060768	123061767	1518=1X7641=
123061768	123062767	7641=
123062768	123063767	7641=
123063768	123064767	7641=
123064768	123065767	7641=
123065768	123066767	7641=
123066768	123067767	7641=
123067768	123068767	7641=
123068768	123069767	7641=1X3129=
123069768	123070767	3129=
123070768	123071767	3129=
123071768	123072767	3129=1X1507=
123072768	123073767	1507=
123073768	123074767	1507=1X306=1X2059=
123074768	123075767	2059=
123075768	123076767	2059=1X4900=
123076768	123077767	4900=
123077768	123078767	4900=
123078768	123079767	4900=
123079768	123080767	4900=
123080768	123081767	4900=1X2798=
123081768	123082767	2798=
123082768	123083767	2798=
123083768	123084767	2798=1X61=1X1603=
123084768	123085767	1603=1X871=
123085768	123086767	871=1019D
123086768	123087767	1019D35=1X2246=
123087768	123088767	2246=
123088768	123089767	2246=1X342=
123089768	123090767	342=1X2950=
123090768	123091767	2950=
123091768	123092767	2950=
123092768	123093767	2950=1X303=1X1014=
123093768	123094767	1014=1X8467=
123094768	123095767	8467=
123095768	123096767	8467=
123096768	123097767	8467=
123097768	123098767	8467=
123098768	123099767	8467=
123099768	123100767	8467=
123100768	123101767	8467=
123101768	123102767	8467=
123102768	123103767	8467=1X377=1X217=1X6328=
123103768	123104767	6328=
123104768	123105767	6328=
123105768	123106767	6328=
123106768	123107767	6328=
123107768	123108767	6328=
123108768	123109767	6328=1X115=
123109768	123110767	115=1359D
123110768	123111767	1359D732=
123111768	123112767	732=147405D
123112768	123113767	147405D
123113768	123114767	147405D
123114768	123115767	147405D
123115768	123116767	147405D
123116768	123117767	147405D
123117768	123118767	147405D
123118768	123119767	147405D
123119768	123120767	147405D
123120768	123121767	147405D
123121768	123122767	147405D
123122768	123123767	147405D
123123768	123124767	147405D
123124768	123125767	147405D
123125768	123126767	147405D
123126768	123127767	147405D
123127768	123128767	147405D
123128768	123129767	147405D
123129768	123130767	147405D
123130768	123131767	147405D
123131768	123132767	147405D
123132768	123133767	147405D
123133768	123134767	147405D
123134768	123135767	147405D
123135768	123136767	147405D
123136768	123137767	147405D
123137768	123138767	147405D
123138768	123139767	147405D
123139768	123140767	147405D
123140768	123141767	147405D
123141768	123142767	147405D
123142768	123143767	147405D
123143768	123144767	147405D
123144768	123145767	147405D
123145768	123146767	147405D
123146768	123147767	147405D
123147768	123148767	147405D
123148768	123149767	147405D
123149768	123150767	147405D
123150768	123151767	147405D
123151768	123152767	147405D
123152768	123153767	147405D
123153768	123154767	147405D
123154768	123155767	147405D
123155768	123156767	147405D
123156768	123157767	147405D
123157768	123158767	147405D
123158768	123159767	147405D
123159768	123160767	147405D
123160768	123161767	147405D
123161768	123162767	147405D
123162768	123163767	147405D
123163768	123164767	147405D
123164768	123165767	147405D
123165768	123166767	147405D
123166768	123167767	147405D
123167768	123168767	147405D
123168768	123169767	147405D
123169768	123170767	147405D
123170768	123171767	147405D
123171768	123172767	147405D
123172768	123173767	147405D
123173768	123174767	147405D
123174768	123175767	147405D
123175768	123176767	147405D
123176768	123177767	147405D
123177768	123178767	147405D
123178768	123179767	147405D
123179768	123180767	147405D
123180768	123181767	147405D
123181768	123182767	147405D
123182768	123183767	147405D
123183768	123184767	147405D
123184768	123185767	147405D
123185768	123186767	147405D
123186768	123187767	147405D
123187768	123188767	147405D
123188768	123189767	147405D
123189768	123190767	147405D
123190768	123191767	147405D
123191768	123192767	147405D
123192768	123193767	147405D
123193768	123194767	147405D
123194768	123195767	147405D
123195768	123196767	147405D
123196768	123197767	147405D
123197768	123198767	147405D
123198768	123199767	147405D
123199768	123200767	147405D
123200768	123201767	147405D
123201768	123202767	147405D
123202768	123203767	147405D
123203768	123204767	147405D
123204768	123205767	147405D
123205768	123206767	147405D
123206768	123207767	147405D
123207768	123208767	147405D
123208768	123209767	147405D
123209768	123210767	147405D
123210768	123211767	147405D
123211768	123212767	147405D
123212768	123213767	147405D
123213768	123214767	147405D
123214768	123215767	147405D
123215768	123216767	147405D
123216768	123217767	147405D
123217768	123218767	147405D
123218768	123219767	147405D
123219768	123220767	147405D
123220768	123221767	147405D
123221768	123222767	147405D
123222768	123223767	147405D
123223768	123224767	147405D
123224768	123225767	147405D
123225768	123226767	147405D
123226768	123227767	147405D
123227768	123228767	147405D
123228768	123229767	147405D
123229768	123230767	147405D
123230768	123231767	147405D
123231768	123232767	147405D
123232768	123233767	147405D
123233768	123234767	147405D
123234768	123235767	147405D
123235768	123236767	147405D
123236768	123237767	147405D
123237768	123238767	147405D
123238768	123239767	147405D
123239768	123240767	147405D
123240768	123241767	147405D
123241768	123242767	147405D
123242768	123243767	147405D
123243768	123244767	147405D
123244768	123245767	147405D
123245768	123246767	147405D
123246768	123247767	147405D
123247768	123248767	147405D
123248768	123249767	147405D
123249768	123250767	147405D
123250768	123251767	147405D
123251768	123252767	147405D
123252768	123253767	147405D
123253768	123254767	147405D
123254768	123255767	147405D
123255768	123256767	147405D
123256768	123257767	147405D
123257768	123258767	147405D
123258768	123259767	147405D456=
123259768	123260767	456=1X7208=
123260768	123261767	7208=
123261768	123262767	7208=
123262768	123263767	7208=
123263768	123264767	7208=
123264768	123265767	7208=
123265768	123266767	7208=
123266768	123267767	7208=1X3249=
123267768	123268767	3249=
123268768	123269767	3249=
123269768	123270767	3249=2X1093=
123270768	123271767	1093=4416I4110=
123271768	123272767	4110=
123272768	123273767	4110=
123273768	123274767	4110=
123274768	123275767	4110=1X2654=
123275768	123276767	2654=
123276768	123277767	2654=
123277768	123278767	2654=1X890=
123278768	123279767	890=1X2295=
123279768	123280767	2295=
123280768	123281767	2295=1X3876=
123281768	123282767	3876=
123282768	123283767	3876=
123283768	123284767	3876=
123284768	123285767	3876=1X945=
123285768	123286767	945=1X6573=
123286768	123287767	6573=
123287768	123288767	6573=
123288768	123289767	6573=
123289768	123290767	6573=
123290768	123291767	6573=
123291768	123292767	6573=1X1479=
123292768	123293767	1479=
123293768	123294767	1479=10865D
123294768	123295767	10865D
123295768	123296767	10865D
123296768	123297767	10865D
123297768	123298767	10865D
123298768	123299767	10865D
123299768	123300767	10865D
123300768	123301767	10865D
123301768	123302767	10865D
123302768	123303767	10865D
123303768	123304767	10865D
123304768	123305767	10865D2850=
123305768	123306767	2850=
123306768	123307767	2850=
123307768	123308767	2850=1X2365=
123308768	123309767	2365=
123309768	123310767	2365=1X129=1X6074=
123310768	123311767	6074=
123311768	123312767	6074=
123312768	123313767	6074=
123313768	123314767	6074=
123314768	123315767	6074=
123315768	123316767	6074=1X2327=
123316768	123317767	2327=
123317768	123318767	2327=
123318768	123319767	2327=1X4769=
123319768	123320767	4769=
123320768	123321767	4769=
123321768	123322767	4769=
123322768	123323767	4769=1I596=
123323768	123324767	596=1X14045=
123324768	123325767	14045=
123325768	123326767	14045=
123326768	123327767	14045=
123327768	123328767	14045=
123328768	123329767	14045=
123329768	123330767	14045=
123330768	123331767	14045=
123331768	123332767	14045=
123332768	123333767	14045=
123333768	123334767	14045=
123334768	123335767	14045=
123335768	123336767	14045=
123336768	123337767	14045=
123337768	123338767	14045=1X6132=
123338768	123339767	6132=
123339768	123340767	6132=
123340768	123341767	6132=
123341768	123342767	6132=
123342768	123343767	6132=
123343768	123344767	6132=1X6789D
123344768	123345767	6789D
123345768	123346767	6789D
123346768	123347767	6789D
123347768	123348767	6789D
123348768	123349767	6789D
123349768	123350767	6789D
123350768	123351767	6789D2692=
123351768	123352767	2692=
123352768	123353767	2692=
123353768	123354767	2692=1X868=1X308=
123354768	123355767	308=1X1055=
123355768	123356767	1055=1X5945=
123356768	123357767	5945=
123357768	123358767	5945=
123358768	123359767	5945=
123359768	123360767	5945=
123360768	123361767	5945=
123361768	123362767	5945=1X2920=
123362768	123363767	2920=
123363768	123364767	2920=
123364768	123365767	2920=1X369=340D94=1X3075=
123365768	123366767	3075=
123366768	123367767	3075=
123367768	123368767	3075=
123368768	123369767	3075=1X43=1X295=680D
123369768	123370767	680D848=1X1624=
123370768	123371767	1624=
123371768	123372767	1624=1X3196=
123372768	123373767	3196=
123373768	123374767	3196=
123374768	123375767	3196=1X1285=
123375768	123376767	1285=
123376768	123377767	1285=1X4154=
123377768	123378767	4154=
123378768	123379767	4154=
123379768	123380767	4154=
123380768	123381767	4154=1X2099=
123381768	123382767	2099=
123382768	123383767	2099=1X28=1I1851=
123383768	123384767	1851=
123384768	123385767	1851=1X3904=
123385768	123386767	3904=
123386768	123387767	3904=
123387768	123388767	3904=
123388768	123389767	3904=1X737=1X3352=
123389768	123390767	3352=
123390768	123391767	3352=
123391768	123392767	3352=
123392768	123393767	3352=1X2501=
123393768	123394767	2501=
123394768	123395767	2501=1X848=
123395768	123396767	848=1X4164=
123396768	123397767	4164=
123397768	123398767	4164=
123398768	123399767	4164=
123399768	123400767	4164=1X4919=
123400768	123401767	4919=
123401768	123402767	4919=
123402768	123403767	4919=
123403768	123404767	4919=
123404768	123405767	4919=1X1633=
123405768	123406767	1633=
123406768	123407767	1633=1X313=2X3858=
123407768	123408767	3858=
123408768	123409767	3858=
123409768	123410767	3858=
123410768	123411767	3858=1X99=1X1180=
123411768	123412767	1180=2716D
123412768	123413767	2716D
123413768	123414767	2716D
123414768	123415767	2716D810=
123415768	123416767	810=1X283=1X801=
123416768	123417767	801=1X644=1X738=
123417768	123418767	738=1X226=1X7750=
123418768	123419767	7750=
123419768	123420767	7750=
123420768	123421767	7750=
123421768	123422767	7750=
123422768	123423767	7750=
123423768	123424767	7750=
123424768	123425767	7750=
123425768	123426767	7750=1X18=1X235=1X1731=
123426768	123427767	1731=
123427768	123428767	1731=2720D
123428768	123429767	2720D
123429768	123430767	2720D
123430768	123431767	2720D2772=
123431768	123432767	2772=
123432768	123433767	2772=
123433768	123434767	2772=1X37=1X1086=
123434768	123435767	1086=1X4812=
123435768	123436767	4812=
123436768	123437767	4812=
123437768	123438767	4812=
123438768	123439767	4812=
123439768	123440767	4812=1X3016=
123440768	123441767	3016=
123441768	123442767	3016=
123442768	123443767	3016=1X1706=
123443768	123444767	1706=1X2415=
123444768	123445767	2415=
123445768	123446767	2415=
123446768	123447767	2415=1X1889=
123447768	123448767	1889=
123448768	123449767	1889=12231D
123449768	123450767	12231D
123450768	123451767	12231D
123451768	123452767	12231D
123452768	123453767	12231D
123453768	123454767	12231D
123454768	123455767	12231D
123455768	123456767	12231D
123456768	123457767	12231D
123457768	123458767	12231D
123458768	123459767	12231D
123459768	123460767	12231D
123460768	123461767	12231D770=
123461768	123462767	770=1X26=1X1949=
123462768	123463767	1949=
123463768	123464767	1949=340D3097=
123464768	123465767	3097=
123465768	123466767	3097=
123466768	123467767	3097=1X9038=
123467768	123468767	9038=
123468768	123469767	9038=
123469768	123470767	9038=
123470768	123471767	9038=
123471768	123472767	9038=
123472768	123473767	9038=
123473768	123474767	9038=
123474768	123475767	9038=
123475768	123476767	9038=1X123=1X402=
123476768	123477767	402=1X681=1X1633=
123477768	123478767	1633=
123478768	123479767	1633=148172D
123479768	123480767	148172D
123480768	123481767	148172D
123481768	123482767	148172D
123482768	123483767	148172D
123483768	123484767	148172D
123484768	123485767	148172D
123485768	123486767	148172D
123486768	123487767	148172D
123487768	123488767	148172D
123488768	123489767	148172D
123489768	123490767	148172D
123490768	123491767	148172D
123491768	123492767	148172D
123492768	123493767	148172D
123493768	123494767	148172D
123494768	123495767	148172D
123495768	123496767	148172D
123496768	123497767	148172D
123497768	123498767	148172D
123498768	123499767	148172D
123499768	123500767	148172D
123500768	123501767	148172D
123501768	123502767	148172D
123502768	123503767	148172D
123503768	123504767	148172D
123504768	123505767	148172D
123505768	123506767	148172D
123506768	123507767	148172D
123507768	123508767	148172D
123508768	123509767	148172D
123509768	123510767	148172D
123510768	123511767	148172D
123511768	123512767	148172D
123512768	123513767	148172D
123513768	123514767	148172D
123514768	123515767	148172D
123515768	123516767	148172D
123516768	123517767	148172D
123517768	123518767	148172D
123518768	123519767	148172D
123519768	123520767	148172D
123520768	123521767	148172D
123521768	123522767	148172D
123522768	123523767	148172D
123523768	123524767	148172D
123524768	123525767	148172D
123525768	123526767	148172D
123526768	123527767	148172D
123527768	123528767	148172D
123528768	123529767	148172D
123529768	123530767	148172D
123530768	123531767	148172D
123531768	123532767	148172D
123532768	123533767	148172D
123533768	123534767	148172D
123534768	123535767	148172D
123535768	123536767	148172D
123536768	123537767	148172D
123537768	123538767	148172D
123538768	123539767	148172D
123539768	123540767	148172D
123540768	123541767	148172D
123541768	123542767	148172D
123542768	123543767	148172D
123543768	123544767	148172D
123544768	123545767	148172D
123545768	123546767	148172D
123546768	123547767	148172D
123547768	123548767	148172D
123548768	123549767	148172D
123549768	123550767	148172D
123550768	123551767	148172D
123551768	123552767	148172D
123552768	123553767	148172D
123553768	123554767	148172D
123554768	123555767	148172D
123555768	123556767	148172D
123556768	123557767	148172D
123557768	123558767	148172D
123558768	123559767	148172D
123559768	123560767	148172D
123560768	123561767	148172D
123561768	123562767	148172D
123562768	123563767	148172D
123563768	123564767	148172D
123564768	123565767	148172D
123565768	123566767	148172D
123566768	123567767	148172D
123567768	123568767	148172D
123568768	123569767	148172D
123569768	123570767	148172D
123570768	123571767	148172D
123571768	123572767	148172D
123572768	123573767	148172D
123573768	123574767	148172D
123574768	123575767	148172D
123575768	123576767	148172D
123576768	123577767	148172D
123577768	123578767	148172D
123578768	123579767	148172D
123579768	123580767	148172D
123580768	123581767	148172D
123581768	123582767	148172D
123582768	123583767	148172D
123583768	123584767	148172D
123584768	123585767	148172D
123585768	123586767	148172D
123586768	123587767	148172D
123587768	123588767	148172D
123588768	123589767	148172D
123589768	123590767	148172D
123590768	123591767	148172D
123591768	123592767	148172D
123592768	123593767	148172D
123593768	123594767	148172D
123594768	123595767	148172D
123595768	123596767	148172D
123596768	123597767	148172D
123597768	123598767	148172D
123598768	123599767	148172D
123599768	123600767	148172D
123600768	123601767	148172D
123601768	123602767	148172D
123602768	123603767	148172D
123603768	123604767	148172D
123604768	123605767	148172D
123605768	123606767	148172D
123606768	123607767	148172D
123607768	123608767	148172D
123608768	123609767	148172D
123609768	123610767	148172D
123610768	123611767	148172D
123611768	123612767	148172D
123612768	123613767	148172D
123613768	123614767	148172D
123614768	123615767	148172D
123615768	123616767	148172D
123616768	123617767	148172D
123617768	123618767	148172D
123618768	123619767	148172D
123619768	123620767	148172D
123620768	123621767	148172D
123621768	123622767	148172D
123622768	123623767	148172D
123623768	123624767	148172D
123624768	123625767	148172D
123625768	123626767	148172D
123626768	123627767	148172D154=1X41=1X39=1X2141=
123627768	123628767	2141=
123628768	123629767	2141=1X7284=
123629768	123630767	7284=
123630768	123631767	7284=
123631768	123632767	7284=
123632768	123633767	7284=
123633768	123634767	7284=
123634768	123635767	7284=
123635768	123636767	7284=
123636768	123637767	7284=1X2007=
123637768	123638767	2007=
123638768	123639767	2007=1X2630=
123639768	123640767	2630=
123640768	123641767	2630=1X324=
123641768	123642767	324=1695I2790=
123642768	123643767	2790=
123643768	123644767	2790=
123644768	123645767	2790=4750D
123645768	123646767	4750D
123646768	123647767	4750D
123647768	123648767	4750D
123648768	123649767	4750D2603=
123649768	123650767	2603=
123650768	123651767	2603=
123651768	123652767	2603=1X31=1X5008=
123652768	123653767	5008=
123653768	123654767	5008=
123654768	123655767	5008=
123655768	123656767	5008=
123656768	123657767	5008=1X1802=
123657768	123658767	1802=
123658768	123659767	1802=1X2709=
123659768	123660767	2709=
123660768	123661767	2709=1X1158=
123661768	123662767	1158=
123662768	123663767	1158=2039D
123663768	123664767	2039D
123664768	123665767	2039D367=3736I1561=
123665768	123666767	1561=
123666768	123667767	1561=1X812=9500I724=
123667768	123668767	724=1X5449=
123668768	123669767	5449=
123669768	123670767	5449=
123670768	123671767	5449=
123671768	123672767	5449=
123672768	123673767	5449=
123673768	123674767	5449=1X679=1X10325=
123674768	123675767	10325=
123675768	123676767	10325=
123676768	123677767	10325=
123677768	123678767	10325=
123678768	123679767	10325=
123679768	123680767	10325=
123680768	123681767	10325=
123681768	123682767	10325=
123682768	123683767	10325=
123683768	123684767	10325=
123684768	123685767	10325=1X4024=
123685768	123686767	4024=
123686768	123687767	4024=
123687768	123688767	4024=
123688768	123689767	4024=1X2292=
123689768	123690767	2292=
123690768	123691767	2292=1X1969=
123691768	123692767	1969=
123692768	123693767	1969=1X11911=
123693768	123694767	11911=
123694768	123695767	11911=
123695768	123696767	11911=
123696768	123697767	11911=
123697768	123698767	11911=
123698768	123699767	11911=
123699768	123700767	11911=
123700768	123701767	11911=
123701768	123702767	11911=
123702768	123703767	11911=
123703768	123704767	11911=
123704768	123705767	11911=1X455=2I605=
123705768	123706767	605=1X321=1X351=1X589=
123706768	123707767	589=1X1342=
123707768	123708767	1342=1X1278=
123708768	123709767	1278=
123709768	123710767	1278=340I2741=
123710768	123711767	2741=
123711768	123712767	2741=1X1354=
123712768	123713767	1354=
123713768	123714767	1354=1017I355=1X1741=
123714768	123715767	1741=
123715768	123716767	1741=1X7038=
123716768	123717767	7038=
123717768	123718767	7038=
123718768	123719767	7038=
123719768	123720767	7038=
123720768	123721767	7038=
123721768	123722767	7038=
123722768	123723767	7038=1X500=1X185=
123723768	123724767	185=1X73=1X13=1X257=1X2877=
123724768	123725767	2877=
123725768	123726767	2877=
123726768	123727767	2877=1X171=1X289=1X1050=
123727768	123728767	1050=1X4492=
123728768	123729767	4492=
123729768	123730767	4492=
123730768	123731767	4492=
123731768	123732767	4492=
123732768	123733767	4492=1X614=1X212=
